CUT (Código Único Territorial),Comuna,Provincia,Región, Superficie (km2) ,Población Año 2017,Densidad (hab./km2),IDH 2005,Latitud (Decimal),Longitud (decimal),Latitud (Sexagesimal),Longitud (Sexagesimal)
8101,Concepción,Concepción, Biobío, 221.60 ," 223,574 ",1008.9,0.757,-36.815,-73.0289," -36°48' 54"" ", -73°1' 44'' 
8102,Coronel,Concepción, Biobío, 279.40 ," 116,262 ",416.1,0.682,-36.9819,-73.1569, -36°58' 55'' , -73°9' 25'' 
8103,Chiguayante,Concepción, Biobío, 71.50 ," 85,938 ",1201.9,0.764,-36.9089,-73.0278, -36°54' 32'' , -73°1' 40'' 
8104,Florida,Concepción, Biobío, 608.60 ," 10,624 ",17.5,0.604,-36.8208,-72.6619, -36°49' 15'' , -72°39' 43'' 
8105,Hualqui,Concepción, Biobío, 530.50 ," 24,333 ",589.2,0.666,-36.9669,-72.9328, -36°58' 1'' , -72°55' 58'' 
8106,Lota,Concepción, Biobío, 135.80 ," 43,535 ",320.6,0.643,-37.0889,-73.155, -37°5' 20'' ," -73°9' 18"" "
8107,Penco,Concepción, Biobío, 107.60 ," 47,367 ",440.2,0.689,-36.7419,-72.9978, -36°44' 31'' , -72°59' 52'' 
8108,San Pedro de La Paz,Concepción, Biobío, 112.50 ," 131,808 ",1171.6,0.787,-36.8639,-73.1078, -36°51' 50'' , -73°6' 28'' 
8109,Santa Juana,Concepción, Biobío, 731.20 ," 13,749 ",18.8,0.626,-37.1792,-72.9353, -37°10' 45'' , -72°56' 7'' 
8110,Talcahuano,Concepción, Biobío, 92.30 ," 151,749 ",1644.1,0.731,-36.7358,-73.105, -36°44' 9'' ," -73°6' 18"" "
8111,Tomé,Concepción, Biobío, 494.50 ," 54,946 ",111.1,0.668,-36.6239,-72.95, -36°37' 26'' ," -72°57' 0"" "
8112,Hualpén,Concepción, Biobío, 53.50 ," 91,773 ",1715.4,,-36.7889,-73.11, -36°47' 20'' ," -73°6' 36"" "
8201,Lebu,Arauco, Biobío, 561.40 ," 25,522 ",45.5,0.633,-37.6058,-73.6428, -37°36' 21'' , -73°38' 34'' 
8202,Arauco,Arauco, Biobío, 956.10 ," 36,257 ",37.9,0.704,-37.2569,-73.2839, -37°15' 25'' , -73°17' 2'' 
8203,Cañete,Arauco, Biobío," 1,089.20 "," 34,537 ",31.7,0.641,-35.2828,-72.2328, -35°16' 58'' , -72°13' 58'' 
8204,Contulmo,Arauco, Biobío, 638.80 ," 6,031 ",9.44,0.603,-38.005,-73.225," -38°0' 18"" "," -73°13' 30"" "
8205,Curanilahue,Arauco, Biobío, 994.30 ," 32,288 ",32.5,0.643,-37.4719,-73.3478, -37°28' 19'' , -73°20' 52'' 
8206,Los Álamos,Arauco, Biobío, 599.10 ," 21,035 ",35.1,0.645,-37.6208,-73.4558, -37°37' 15'' , -73°27' 21'' 
8207,Tirúa,Arauco, Biobío, 624.40 ," 10,417 ",16.7,0.584,-38.3389,-73.4839, -38°20' 20'' , -73°29' 2'' 
8301,Los Ángeles,Biobío, Biobío," 1,748.20 "," 202,331 ",115.7,0.696,-36.9439,-72.3508, -36°56' 38'' , -72°21' 3'' 
8302,Antuco,Biobío, Biobío," 1,884.10 "," 4,073 ",2.16,0.662,-37.3269,-71.6778, -37°19' 37'' , -71°40' 40'' 
8303,Cabrero,Biobío, Biobío, 639.80 ," 28,573 ",44.7,0.635,-37.0389,-72.3989, -37°2' 20'' , -72°23' 56'' 
8304,Laja,Biobío, Biobío, 339.80 ," 22,389 ",65.9,0.665,-37.2669,-72.7, -37°16' 1'' ," -72°42' 0"" "
8305,Mulchén,Biobío, Biobío," 1,925.30 "," 29,627 ",15.4,0.639,-37.715,-72.2389," -37°42' 54"" ", -72°14' 20'' 
8306,Nacimiento,Biobío, Biobío, 934.90 ," 26,315 ",28.2,0.656,-37.5008,-72.6758, -37°30' 3'' , -72°40' 33'' 
8307,Negrete,Biobío, Biobío, 156.50 ," 9,737 ",62.2,0.629,-37.5828,-72.5169, -37°34' 58'' , -72°31' 1'' 
8308,Quilaco,Biobío, Biobío," 1,123.70 "," 3,988 ",3.55,0.635,-37.68,-72.0069," -37°40' 48"" ", -72°0' 25'' 
8309,Quilleco,Biobío, Biobío," 1,121.80 "," 9,587 ",8.55,0.641,-37.4669,-71.9669, -37°28' 1'' , -71°58' 1'' 
8310,San Rosendo,Biobío, Biobío, 92.40 ," 3,412 ",36.9,0.647,-37.2578,-72.7158, -37°15' 28'' , -72°42' 57'' 
8311,Santa Bárbara,Biobío, Biobío," 1,254.90 "," 13,773 ",10.9,0.637,-37.6628,-72.0178, -37°39' 46'' , -72°1' 4'' 
8312,Tucapel,Biobío, Biobío, 914.90 ," 14,134 ",15.5,0.655,-37.6328,-73.3328, -37°37' 58'' , -73°19' 58'' 
8313,Yumbel,Biobío, Biobío, 727.00 ," 21,198 ",29.2,0.597,-37.0958,-72.5558, -37°5' 45'' , -72°33' 21'' 
8314,Alto Biobío,Biobío, Biobío," 2,124.60 "," 5,923 ",2.79,,-38.6189,-71.3242, -38°37' 8'' , -71°19' 27'' 
