Región;Plantación Forestal;Bosque Nativo;Bosque Mixto;Total
Arica y Parinacota;20,8;47.151,3;0,0;47.172,1
Tarapacá;29.264,2;33.246,4;0,0;62.510,6
Antofagasta;3.049,9;11.899,3;0,0;14.949,2
Atacama;276,4;3.224,2;0,0;3.500,6
Coquimbo;12.285,1;48.474,9;886,4;61.646,4
Valparaíso;68.757,9;484.115,7;724,6;553.598,1
Metropolitana;9.181,0;363.955,3;218,0;373.354,3
O'Higgins;130.536,4;459.309,1;545,7;590.391,2
Maule;634.893,5;581.515,3;28.674,8;1.245.083,6
Ñuble;380.714,9;247.979,8;17.051,8;645.746,5
Biobío;875.178,4;597.572,7;51.635,9;1.524.387,0
La Araucanía;632.289,0;964.152,9;47.639,5;1.644.081,3
Los Ríos;208.775,2;908.530,7;17.866,0;1.135.171,9
Los Lagos;96.598,8;2.827.436,4;12.799,3;2.936.834,5
Aysén;32.017,3;4.398.744,8;1.083,0;4.431.845,1
Magallanes y de la Antártica;286,2;2.760.176,6;0,0;2.760.462,8
Total;3.114.125;14.737.485;179.125;18.030.735
Porcentaje Nacional;17,27;81,74;0,99;100
